//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
Rear_Camera_Test_Macro_MTF_Fail,CAMA0027,FunErr_Rear_Camera_Test_Macro_MTF_Fail,后镜头微距MTFy失,rear camera Macro MTF Fail,Y
Rear_Camera_Test_Read_OTP_AWB_Fail,CAMA0028,FunErr_Rear_Camera_Test_OTP_AWB_Fail,后摄像头AWB读取失败,Read OTP AWB Fail,Y
Rear_Camera_Test_Read_OTP_AFMacro_Fail,CAMA0029,FunErr_Rear_Camera_Test_OTP_AFMacro_Fail,"后摄像头 AFMacro读取失败,",Read OTP AFMacro Fail,Y
Rear_Camera_Test_Read_OTP_AFInfinity_Fail,CAMA0030,FunErr_Rear_Camera_Test_OTP_AFInfinity_Fail,后摄像头AFInfinity读取失败,Read OTP AFInfinity Fail,Y
Camera_Flashlight_Disable_Fail,CAMA0031,FunErr_Camera_Flashlight_Disable_Fail,关闭闪光灯失败,Disable flashlight fail,Y
Camera_Flashlight_Enable_Fail,CAMA0032,FunErr_Camera_Flashlight_Enable_Fail,开启闪光灯失败,Enable flashlight fail,Y
Camera_OIS_Enable_Fail,CAMA0033,FunErr_Camera_OIS_Enable_Fail,开启防手震失败,Enable OIS fail,Y
Camera_OIS_Disable_Fail,CAMA0034,FunErr_Camera_OIS_Disable_Fail,关闭防手震失败,Disable OIS fail,Y
Rear_Camera_Test_Flash_Fail,CAMA0035,FunErr_Rear_Camera_Test_Flash_Fail,后镜头测试闪光灯失败,Rear Camera test flash fail,Y
Rear_Camera_Test_OIS_Fail,CAMA0036,FunErr_Rear_Camera_Test_OIS_Fail,后镜头测试防手震失败,Rear Camera test OIS fail,Y
Switch_Camera_Fail,CAMA0037,FunErr_Switch_Camera_Fail,切换镜头失败,Switch Camera Fail,Y
Camera_Scan_Barcode_Fail,CAMA0038,FunErr_Camera_Scan_Barcode_Fail,摄像头扫描条码失败,camera scan barcode fail,Y
Camera_AutoFocus_Fail,CAMA0039,FunErr_Camera_AutoFocus_Fail,相机对焦失败,Camera AutoFocus Fail,Y
Camera_FetchPicture_Fail,CAMA0040,FunErr_Camera_FetchPicture_Fail,图片抓取失败,Camera FetchPicture Fail,Y
Front_Camera_Start_Fail,CAMA0041,FunErr_Front_Camera_Start_Fail,前摄像头开启失败,Front camera start fail,Y
Rear_Camera_Start_Fail,CAMA0042,FunErr_Rear_Camera_Start_Fail,后摄像头开启失败,Rear camera start fail,Y
Rear_Camera_Read_FuseID_Fail,CAMA0043,FunErr_Rear_Camera_Read_FuseID_Fail,后摄像头读取FuseID失败,Rear camera read FuseID fail,Y
Front_Camera_Read_FuseID_Fail,CAMA0044,FunErr_Front_Camera_Read_FuseID_Fail,前摄像头读取FuseID失败,Front camera read FuseID fail,Y
Front_Camera_Write_FuseID_Fail,CAMA0045,FunErr_Front_Camera_Write_FuseID_Fail,前摄像头写入FuseID失败,Front camera write FuseID fail,Y
Front_Camera_FuseID_Mismatch_Fail,CAMA0046,FunErr_Front_Camera_FuseID_Mismatch_Fail,前摄像头读写FuseID不匹配,Front camera FuseID mismatch fail,Y
Zoom_Ring_Test_Fail,CAMA0047,FunErr_Zoom_Ring_Test_Fail,Zoom Ring 测试失败,Zoom Ring Test Fail,Y
Focus_Ring_Test_Fail,CAMA0048,FunErr_Focus_Ring_Test_Fail,Focus Ring 测试失败,Foucs Ring Test Fail,Y
Shutter_Calibration_Fail,CAMA0049,FunErr_Shutter_Calibration_Fail,快门校准失败,Shutter Calibration Fail,Y
//**Camera Key,,,,,
Zoom_Motion_Fail,KEYCAM01,FunErr_Zoom_Motion_Fail,Zoom 移动失败,Zoom Motion Fail,Y
Focus_Motion_Fail,KEYCAM02,FunErr_Focus_Motion_Fail,Focus 移动失败,Focus Motion Fail,Y
Wheel_Key_Fail,KEYCAM03,FunErr_Wheel_Key_Fail,滚轮键侦测失败,Wheel Key Fail,Y
Focus_Key_Fail,KEYCAM04,FunErr_Focus_Key_Fail,对焦键侦测失败,Focus Key Fail,Y
Shot_Key_Fail,KEYCAM05,FunErr_Shot_Key_Fail,拍摄键侦测失败,Shot Key Fail,Y
BatteryDoor_Key_Fail,KEYCAM06,FunErr_BatteryDoor_Key_Fail,电池盖侦测失败,Battery Door Key Fail,Y
//**Touch,,,,,
Touch_ID_Test_Fail,TOUH0001,FunErr_Touch_ID_Test_Fail,触摸屏ID检测失败,Touch ID test fail,Y
Touch_Calibration_Fail,TOUH0002,FunErr_Touch_Calibration_Fail,触摸屏校验失败,Touch calibration fail,Y
Touch_Test_IDAC_Fail,TOUH0003,FunErr_Touch_Test_IDAC_Fail,触摸屏测试 IDAC 失败,Touch test IDAC fail,Y
Touch_Test_Delta_Fail,TOUH0004,FunErr_Touch_Test_Delta_Fail,触摸屏测试 Delta 失败,Touch test Delta fail,Y
Touch_Test_Baseline_Fail,TOUH0005,FunErr_Touch_Test_Baseline_Fail,触摸屏测试 Baseline 失败,Touch test Baseline fail,Y
Touch_Test_Finger_ID_Out_Of_Setting,TOUH0006,FunErr_Touch_Test_Finger_ID_Out_Of_Setting,Finger ID 超出设定范围,Finger ID out of setting,Y
Touch_Test_Point_Out_Of_Setting,TOUH0007,FunErr_Touch_Test_Point_Out_Of_Setting,Piont超出设定范围,Point out of setting,Y
Touch_Test_Event_Type_M_Occur_Without_T_Before,TOUH0008,FunErr_Touch_Test_Event_Type_M_Occur_Without_T_Before,触碰事件M出现前未出现T,Event type M occur without T before,Y
Touch_Test_Event_Type_R_Occur_Without_T_Before,TOUH0009,FunErr_Touch_Test_Event_Type_R_Occur_Without_T_Before,触碰事件R出现前未出现T,Event type R occur without T before,Y
Touch_Test_Undefined_Event_Type,TOUH0010,FunErr_Touch_Test_Undefined_Event_Type,未定义的触碰事件,Undefined event type,Y
Touch_Test_No_Mapped_Line,TOUH0011,FunErr_Touch_Test_No_Mapped_Line,无对应线段,No mapped line,Y
Touch_Test_Broken_Line,TOUH0012,FunErr_Touch_Test_Broken_Line,断线,Broken line,Y
Touch_Download_Firmware_Fail,TOUH0013,FunErr_Touch_Download_Firmware_Fail,触摸屏固件下载失败,Touch Download Firmware fail,Y
Touch_General_Fail,TOUH0014,FunErr_Touch_General_Fail,触屏测试错误,Touch general fail,Y
Touch_Check_Range_Fail,TOUH0015,FunErr_Touch_Check_Range_Fail,触屏测试范围错误,Touch check range fail,Y
Touch_Auto_Check_Fail,TOUH0016,FunErr_Touch_Auto_Check_Fail,触屏自动测试失败,Touch auto check fail,Y
Touch_Pin_Fail,TOUH0017,FunErr_Touch_Pin_Fail,触屏pin错误,Touch pin fault,Y
Touch_Panel_Fail,TOUH0018,FunErr_Touch_Panel_Fail,触屏Panel测试失败,Touch panel test fail,Y
Touch_Capkey_Fail,TOUH0019,FunErr_Touch_Capkey_Fail,触屏Capkey测试失败,Touch capkey panel test fail,Y
Touch_Enable_Fail,TOUH0020,FunErr_Touch_Enable_Fail,启动Touch失败,Enable Touch Fail,Y
Touch_Disable_Fail,TOUH0021,FunErr_Touch_Disable_Fail,停止Touch失败,Disable Touch Fail,Y
Touch_Slider_Test_Fail,TOUH0022,FunErr_Touch_Slider_Test_Fail,触屏Slider测试失败,Touch slider test fail,Y
Touch_Keypad_Test_Fail,TOUH0023,FunErr_Touch_Keypad_Test_Fail,触屏Keypad测试失败,Touch keypad test fail,Y
Touch_Self_Test_Fail,TOUH0024,FunErr_Touch_Self_Test_Fail,触屏模拟触摸测试失败,Touch self test fail,Y
Touch_Write_Flag_Fail,TOUH0025,FunErr_Touch_Write_Flag_Fail,写入触屏类别失败l,Touch Write Flag Fai,Y
Get_Touch_FW_Fail,TOUH0026,FunErr_Get_Touch_FW_Fail,获取触屏固件版本失败,Get touch firmware version fail,Y
Check_Touch_FW_Fail,TOUH0027,FunErr_Check_Touch_FW_Fail,检查触屏固件版本失败,Check touch firmware version fail,Y
Touch_Model_Test_Fail,TOUH0028,FunErr_Touch_Model_Test_Fail,触屏Model测试失败,Touch Model test fail,Y
Check_Touch_HW_Fail,TOUH0029,FunErr_Check_Touch_HW_Fail,检查触屏硬件版本失败,Check touch hw version fail,Y
Touch_Close_Watch_Dog_Fail,TOUH0030,FunErr_Touch_Close_Watch_Dog_Fail,关闭WatchDog失败,Touch close watchdog fail,Y
Touch_Auto_Short_Fail,TOUH0031,FunErr_Touch_Auto_Short_Fail,触屏 auto short test 失败,Touch auto short fail,Y
Touch_Open_Test_Fail,TOUH0032,FunErr_Touch_Open_Test_Fail,触屏 open test 失败,Touch open test fail,Y
Touch_Mutual_RawData_Test_Fail,TOUH0033,FunErr_Touch_Mutual_RawData_Test_Fail,触屏 mutual raw data 测试失败,Touch mutual raw data test fail,Y
Touch_Self_RawData_Test_Fail,TOUH0034,FunErr_Touch_Self_RawData_Test_Fail,触屏 self raw data 测试失败,Touch self raw data test fail,Y
//**SD,,,,,
Detect_SD_Fail,SD000001,FunErr_Detect_SD_Fail,侦测SD卡失败,Detect sd card fail,Y
SD_Mount_Fail,SD000002,FunErr_SD_Mount_Fail,加载SD卡失败,SD card mount fail,Y
Select_SD_Fail,SD000003,FunErr_Select_SD_Fail,选择SD卡存储失败,Select SD card fail,Y
SD_UnMount_Fail,SD000004,FunErr_SD_UnMount_Fail,卸载SD卡失败,SD card unmount fail,Y
Get_SD_Size_Fail,SD000005,FunErr_Get_SD_Size_Fail,获取SD卡大小失败,Get SD card size fail,Y
SD_Operate_Fail,SD000006,FunErr_SD_Operate_Fail,操作SD卡失败,Operate SD card Fail,Y
SD_ReadWrite_Data_Fail,SD000007,FunErr_SD_ReadWrite_Data_Fail,SD卡读写资料失败,SD Read/Write Data Fail,Y
SD_Write_Protect_Test_Fail,SD000008,FunErr_SD_Write_Protect_Test_Fail,SD卡写入保护测试失败,SD Write Protect Test Fail,Y
SD_Delect_DCIM_Fail,SD000009,FunErr_SD_Delect_DCIM_Fail,删除SD卡内DCIM文件夹失败,SD delete DCIM fail,Y
Get_SD_Info_Fail,SD000010,FunErr_Get_SD_Info_Fail,获取SD卡信息失败,Get SD card info fail,Y
SD_ClockRate_Test_Fail,SD000011,FunErr_SD_ClockRate_Test_Fail,SD卡时钟速度测试失败,SD clock rate test fail,Y
//**LED,,,,,
LED_Test_Fail,LED00001,FunErr_LED_Test_Fail,LED测试失败,LED test fail,Y
CapKey_LED_Test_Fail,LED00002,FunErr_CapKey_LED_Test_Fail,Capkey指示灯测试失败,CapKey LED fail,Y
Flash_LED_Test_Fail,LED00003,FunErr_Flash_LED_Test_Fail,相机闪光灯测试失败,Flash LED fail,Y
Green_Power_LED_Test_Fail,LED00004,FunErr_Green_Power_LED_Test_Fail,绿 Power LED 测试失败,Green PowerLED fail,Y
Red_Power_LED_Test_Fail,LED00005,FunErr_Red_Power_LED_Test_Fail,红 Power LED 测试失败,Red PowerLED fail,Y
Flash_LED_ID_Fail,LED00006,FunErr_Flash_LED_ID_Fail,Flash LED ID错误,Check flash LED ID fail,Y
Blue_Power_LED_Test_Fail,LED00007,FunErr_Blue_Power_LED_Test_Fail,蓝 Power LED 测试失败,Blue PowerLED fail,Y
Flash_RGB_LED_ID_Test_Fail,LED00008,FunErr_Flash_RGB_LED_ID_Fail,获取RGB ID 失败,Get RGB ID fail,Y
Indicator_LED_R_Fail,LED00009,FunErr_Check_Indicator_LED_R_Fail,红指示灯测试失败,Check Red Indicator fail,Y
Indicator_LED_G_Fail,LED00010,FunErr_Check_Indicator_LED_G_Fail,绿指示灯测试失败,Check Green Indicator fail,Y
Indicator_LED_B_Fail,LED00011,FunErr_Check_Indicator_LED_B_Fail,蓝指示灯测试失败,Check Blue Indicator  fail,Y
Indicator_LED_OFF_Fail,LED00012,FunErr_Check_Indicator_LED_OFF_Fail,关闭指示灯测试失败,Indicator OFF fail,Y
//**SIM,,,,,
Detect_SIM_Card_Fail,SIMC0001,FunErr_Detect_SIM_Card_Fail,侦测SIM卡失败,detect SIM card fail,Y
//**L-Sensor,,,,,
LSensor_Check_ID_Fail,LSEN0001,FunErr_LSensor_Check_ID_Fail,Lsensor 读取设备ID失败或者ID不匹配,LSensor check ID fail,Y
LSensor_Range_Check_Fail,LSEN0002,FunErr_LSensor_Range_Check_Fail,Lsensor测试不在范围内,LSensor range check fail,Y
LSensor_Data_Equaul_With_Two_Situation,LSEN0003,FunErr_LSensor_Data_Equaul_With_Two_Situation,Lsensor两种不同状态下的数值相同,LSensor Data equaul with two situation,Y
LSensor_Calibration_Fail,LSEN0004,FunErr_LSensor_Calibration_Fail,Lsensor校准失败,LSensor Calibration fail,Y
LSensor_Verification_Fail,LSEN0005,FunErr_LSensor_Verification_Fail,Lsensor验证失败,LSensor verification fail,Y
LSensor_LuxCheck_Fail,LSEN0006,FunErr_LSensor_LuxCheck_Fail,Lsensor自动调光失败,LSensor LuxCheck fail,N
//**P-Sensor,,,,,
PSensor_Check_ID_Fail,PSEN0001,FunErr_PSensor_Check_ID_Fail,Psensor 读取设备ID失败或者ID不匹配,PSensor check ID fail,Y
PSensor_Range_Check_Fail,PSEN0002,FunErr_PSensor_Range_Check_Fail,Psensor测试不在范围内,PSensor range check fail,Y
PSensor_Data_Equaul_With_Two_Situation,PSEN0003,FunErr_PSensor_Data_Equaul_With_Two_Situation,Psensor两种不同状态下的数值相同,PSensor Data equaul with two situation,Y
PSensor_Calibration_Fail,PSEN0004,FunErr_PSensor_Calibration_Fail,Psensor校准失败,PSensor calibration fail,Y
PSensor_Verification_Fail,PSEN0005,FunErr_PSensor_Verification_Fail,Psensor验证失败,PSensor verification fail,Y
PSensor_Proximity_Test_Fail,PSEN0006,FunErr_PSensor_Proximity_Test_Fail,proximity 小于标准值,PSensor proximity fail,Y
//**G-Sensor,,,,,
GSensor_Calibration_Fail,GSEN0001,FunErr_GSensor_Calibration_Fail,GSensor校准失败,GSensor calibration fail,Y
GSensor_Test_Fail,GSEN0002,FunErr_GSensor_Test_Fail,GSensor测试失败,GSensor test fail,Y
GSensor_ID_Fail,GSEN0003,FunErr_GSensor_ID_Fail,GSensor ID 错误,Check GSensor ID fail,Y
GSensor_SelfTest_Fail,GSEN0004,FunErr_GSensor_SelfTest_Fail,GSensor SelfTest失败,GSensor SelfTest Fail,Y
GSensor_X_Axis_Fail,GSEN0005,FunErr_GSensor_X_Axis_Fail,GSensor X轴偏移过大,GSensor X Axis Fail,Y
GSensor_Y_Axis_Fail,GSEN0006,FunErr_GSensor_Y_Axis_Fail,GSensor Y轴偏移过大,GSensor Y Axis Fail,Y
GSensor_Z_Axis_Fail,GSEN0007,FunErr_GSensor_Z_Axis_Fail,GSensor Z轴偏移过大,GSensor Z Axis Fail,Y
//**Speaker,,,,,
Speaker_Amp_Test_Fail,SPEK0001,FunErr_Speaker_Amp_Test_Fail,扬声器AMP测试失败,Speaker amp test fail,Y
Speaker_L_Test_Fail,SPEK0002,FunErr_Speaker_L_Test_Fail,扬声器左声道测试失败,Speaker L test fail,Y
Speaker_R_Test_Fail,SPEK0003,FunErr_Speaker_R_Test_Fail,扬声器右声道测试失败,Speaker R test fail,Y
Switch_Speaker_Fail,SPEK0004,FunErr_Switch_Speaker_Fail,切到扬声器失败,Switch Speaker Fail,Y
Speaker_Play_Fail,SPEK0005,FunErr_Speaker_Play_Fail,扬声器播放WAV失败,Speaker play fail,Y
Speaker_Play_Stop_Fail,SPEK0006,FunErr_Speaker_Play_Stop_Fail,停止扬声器播放失败,Speaker stop play wav fail,Y
Speaker_Loud_Test_Fail,SPEK0007,FunErr_Speaker_Loud_Test_Fail,Loud Speaker测试失败,Loud Speaker test fail,Y
Analyse_Speaker_Frequence_Fail,SPEK0008,FunErr_Analyse_Speaker_Frequence_Fail,分析扬声器频率失败,Analyse speaker frequence fail,Y
Analyse_Speaker_VPP_Fail,SPEK0009,FunErr_Analyse_Speaker_VPP_Fail,分析扬声器VPP失败,Analyse speaker VPP fail,Y
Speaker2_Play_Fail,SPEK0010,FunErr_Speaker2_Play_Fail,手C喇叭2播放失,Speaker2 Play Fail,Y
Speaker1_Test_Fail,SPEK0011,FunErr_Speaker1_Test_Fail,手C喇叭1y失,Speaker1 Test Fail,Y
Speaker2_Test_Fail,SPEK0012,FunErr_Speaker2_Test_Fail,手C喇叭2y失,Speaker2 Test Fail,Y
Speaker_SNR_Test_Fail,SPEK00013,FunErr_Speaker_SNR_Test_Fail,扬声器讯噪比测试失败,Speaker SNR test fail,Y
//**Receiver,,,,,
Switch_Receiver_Fail,RECV0001,FunErr_Switch_Receiver_Fail,切到听筒失败,Switch to receiver fail,Y
Receiver_Play_Fail,RECV0002,FunErr_Receiver_Play_Fail,听筒播放WAV失败,Receiver play fail,Y
Receiver_Play_Stop_Fail,RECV0003,FunErr_Receiver_Play_Stop_Fail,停止听筒播放失败,Receiver stop play wav fail,Y
Receiver_Test_Fail,RECV0004,FunErr_Receiver_Test_Fail,听筒测试失败,Receiver test fail,Y
Analyse_Receiver_Frequence_Fail,RECV0005,FunErr_Analyse_Receiver_Frequence_Fail,分析听筒频率失败,Analyse receiver frequence fail,Y
Analyse_Receiver_VPP_Fail,RECV0006,FunErr_Analyse_Receiver_VPP_Fail,分析听筒VPP失败,Analyse receiver VPP fail,Y
Receiver_SNR_Test_Fail,RECV0007,FunErr_Receiver_SNR_Test_Fail,听筒讯噪比测试失败,Receiver SNR test fail,Y
//**Mic,,,,,
Mic_Record_Wav_Fail,MIC00001,FunErr_Mic_Record_Wav_Fail,麦克风录音失败,MIC Recorad wav fail,Y
Switch_Mic_Fail,MIC00002,FunErr_Switch_Mic_Fail,切到麦克风失败,Switch to MIC Fail,Y
Mic2_Stop_Record_Fail,MIC00003,FunErr_Mic2_Stop_Record_Fail,麦克风2 停止录音失败,Stop MIC2 record fail,Y
Mic_Stop_Record_Fail,MIC00004,FunErr_Mic_Stop_Record_Fail,麦克风停止录音失败,Stop MIC record fail,Y
Mic2_Record_Wav_Fail,MIC00005,FunErr_Mic2_Record_Wav_Fail,麦克风2 录音失败,MIC2 record wav fail,Y
Switch_Mic2_Fail,MIC00006,FunErr_Switch_Mic2_Fail,切到麦克风2失败,Switch MIC2 fail,Y
Mic_Record_Chip_ID_Fail,MIC00007,FunErr_Mic_Record_Chip_ID_Fail,麦克风 Record ID检测失败,Check MIC Record chip ID fail,Y
Mic_Test_Fail,MIC00008,FunErr_Mic_Test_Fail,麦克风测试失败,MIC Test Fail,Y
Mic2_Test_Fail,MIC00009,FunErr_Mic2_Test_Fail,麦克风2测试失败,MIC2 Test Fail,Y
Loopback_Mic_To_Speaker_Fail,MIC00010,FunErr_Loopback_Mic_To_Speaker_Fail,Loop back麦克风到听筒测试失败,Loopback MIC To Speaker Fail,Y
Loopback_Mic_To_Headset_Fail,MIC00011,FunErr_Loopback_Mic_To_Headset_Fail,由麦克风切换至耳机失败,Loopback MIC to headset fail,Y
Loopback_Mic2_To_Headset_Fail,MIC00012,FunErr_Loopback_Mic2_To_Headset_Fail,由麦克风2切换至耳机失败,Loopback MIC2 to headset fail,Y
Mic_Bias_Fail,MIC00013,FunErr_Mic_Bias_Fail,麦克风偏压测试失败,MIC Bias test fail,Y
Mic2_Bias_Fail,MIC00014,FunErr_Mic2_Bias_Fail,麦克风2偏压测试失败,MIC2 Bias test fail,Y
Loopback_Mic2_To_Receiver_Fail,MIC00015,FunErr_Loopback_Mic2_To_Receiver_Fail,由麦克风2切换至话筒失败,Loopback MIC2 to receiver fail,Y
Mic3_Test_Fail,MIC00016,FunErr_Mic3_Test_Fail,麦克风3测试失败,Mic3 test Fail,Y
Mic4_Test_Fail,MIC00017,FunErr_Mic4_Test_Fail,麦克风4测试失败,Mic4 test Fail,Y
Mic3_Stop_Record_Fail,MIC00018,FunErr_Mic3_Stop_Record_Fail,麦克风3停止录音失败,Mic3 Stop Record Fail,Y
Mic4_Stop_Record_Fail,MIC00019,FunErr_Mic4_Stop_Record_Fail,麦克风4停止录音失败,Mic4 Stop Record Fail,Y
Loopback_Mic3_To_Headset_Fail,MIC00020,FunErr_Loopback_Mic3_To_Headset_Fail,麦克风3到耳机测试失败,Mic3 To Headset Fail,Y
Loopback_Mic4_To_Headset_Fail,MIC00021,FunErr_Loopback_Mic4_To_Headset_Fail,麦克风4到耳机测试失败,Mic4 To Headset Fail,Y
Loopback_Mic2_To_Speaker_Fail,MIC00022,FunErr_Loopback_Mic2_To_Speaker_Fail,播放声音从Mic2到免提失败,Loopback mic2 to speaker fail,Y
Mic_SNR_Test_Fail,MIC00023,FunErr_Mic_SNR_Test_Fail,麦克风讯噪比测试失败,Mic SNR test fail,Y
Mic2_SNR_Test_Fail,MIC00024,FunErr_Mic2_SNR_Test_Fail,麦克风2讯噪比测试失败,Mic2 SNR test fail,Y
Mic3_SNR_Test_Fail,MIC00025,FunErr_Mic3_SNR_Test_Fail,麦克风3讯噪比测试失败,Mic3 SNR test fail,Y
Mic4_SNR_Test_Fail,MIC00026,FunErr_Mic4_SNR_Test_Fail,麦克风4讯噪比测试失败,Mic4 SNR test fail,Y
//**Headset,,,,,
Detect_Headset_Fail,HDST0001,FunErr_Detect_Headset_Fail,耳机侦测失败,Headset detect fail,Y
No_Headset_But_Detect_It,HDST0002,FunErr_No_Headset_But_Detect_It,为插入耳机却误侦测到,Have no headset but detect headset,Y
Headset_Send_Key_Fail,HDST0003,FunErr_Headset_Send_Key_Fail,耳机Send按钮错误,Headset send key fail,Y
Headset_Mic_Fail,HDST0004,FunErr_Headset_Mic_Fail,耳机录音失败,Headset Mic Fail,Y
Headset_Play_Fail_or_Mic_exception,HDST0005,FunErr_Headset_Play_Fail_or_Mic_exception,Headset播放失败或Headset录音异常,Headset play Fail or Mic exception,Y
Headset_L_Test_Fail,HDST0006,FunErr_Headset_L_Test_Fail,左边耳机测试失败,Headset L test fail,Y
Headset_R_Test_Fail,HDST0007,FunErr_Headset_R_Test_Fail,右边耳机测试失败,Headset R test fail,Y
Switch_Headset_Fail,HDST0008,FunErr_Switch_Headset_Fail,切换到耳机失败,Swith to hendset fail,Y
Headset_Switch_Mic_Fail,HDST0009,FunErr_Headset_Switch_Mic_Fail,切换到耳机麦克风失败,Switch to headset MIC fail,Y
Headset_Switch_Speaker_Fail,HDST0010,FunErr_Headset_Switch_Speaker_Fail,切换到耳机扬声器失败,Switch to headset speaker fail,Y
Headset_Mic_Stop_Record_Fail,HDST0011,FunErr_Headset_Mic_Stop_Record_Fail,耳机麦克风停止录音失败,Headset Mic stop record fail,Y
Headset_Speaker_Play_Stop_Fail,HDST0012,FunErr_Headset_Speaker_Play_Stop_Fail,耳机扬声器停止播放失败,Headset speaker play stop fail,Y
Headset_Speaker_Test_Fail,HDST0013,FunErr_Headset_Speaker_Test_Fail,耳机扬声器测试失败,Headset speaker test fail,Y
Headset_Test_Fail,HDST0014,FunErr_Headset_Test_Fail,耳机测试失败,Headset test fail,Y
Loopback_Headmic_To_Headset_Fail,HDST0015,FunErr_Loopback_Headmic_To_Headset_Fail ,Loop back耳机麦克风到耳机听筒测试失败,Loopback Headmic To Headset Fail,Y
Analyse_Headset_Frequence_Fail,HDST0016,FunErr_Analyse_Headset_Frequence_Fail,分析耳机频率失败,Analyse headset frequence fail,Y
Analyse_Headset_VPP_Fail,HDST0017,FunErr_Analyse_Headset_VPP_Fail,分析耳机VPP失败,Analyse headset VPP fail,Y
Headset_Timeout_Fail,HDST0018,FunErr_Headset_Timeout_Fail,耳机插入超时,Headset Timeout fail,Y
Headset_Calibration_Fail,HDST0019,FunErr_Headset_Calibration_Fail,耳机校准失败,Headset Calibration fail,Y
Read_Headset_Info_Fail,HDST0020,FunErr_Headset_Info_Fail ,读取耳机讯息失败,Read Headset Info Fail,Y
Loopback_Headmic_To_Receiver_Fail,HDST0021,FunErr_Loopback_Headmic_To_Receiver_Fail,播放声音从耳机麦克风到听筒失败,Loopback headmic to receiver fail,Y
Headset_Play_Fail,HDST0022,FunErr_Headset_Play_Fail,手机耳机播放失败,Headset Play Fail,Y
Headset_L_SNR_Test_Fail,HDST0023,FunErr_Headset_L_SNR_Test_Fail,左边耳机讯噪比测试失败,Headset L SNR test fail,Y
