//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
Headset_R_SNR_Test_Fail,HDST0024,FunErr_Headset_R_SNR_Test_Fail,右边耳机讯噪比测试失败,Headset R SNR test fail,Y
//**Current,,,,,
USB_Charging_Current_Test_Fail,CURR0001,FunErr_USB_Charging_Current_Test_Fail,USB充电电流测试失败,USB charging current test fail,Y
HC_Charging_Current_Test_Fail,CURR0002,FunErr_HC_Charging_Current_Test_Fail,电源适配器充电电流测试失败,HC charging current test fail,Y
LCD_Off_Current_Test_Fail,CURR0003,FunErr_LCD_Off_Current_Test_Fail,LCD关闭后电流测试失败,LCD off current test fail,Y
Sleep_Current_Test_Fail,CURR0004,FunErr_Sleep_Current_Test_Fail,睡眠状态电流测试失败,Sleep current test fail,Y
Boot_Current_Test_Fail,CURR0005,FunErr_Boot_Current_Test_Fail,开机电流测试失败,Boot current test fail,Y
Leakage_Current_Test_Fail,CURR0006,FunErr_Leakage_Current_Test_Fail,漏电流测试失败,Leakage current test fail,Y
Average_Current_Test_Fail,CURR0007,FunErr_Average_Current_Test_Fail,平均电流测试失败,Average current test fail,Y
Max_Current_Test_Fail,CURR0008,FunErr_Max_Current_Test_Fail,最大电流测试失败,Max current test fail,Y
LCD_On_Current_Test_Fail,CURR0009,FunErr_LCD_On_Current_Test_Fail,LCD开启的情况下电流测试失败,LCD on current test fail,Y
//**Audio,,,,,
Audio_Test_Fail,AUDO0001,FunErr_Audio_Test_Fail,Audio测试失败,Audio test fail,Y
Collect_Audio_Fail,AUDO0002,FunErr_Collect_Audio_Fail,采集audio失败,Collect audio Fail,Y
Analyse_Collected_Audio_Fail,AUDO0003,FunErr_Analyse_Collected_Audio_Fail,分析audio数据失败,Analyse collected audio Fail,Y
Audio_Test_PC_Play_Wav_Fail,AUDO0004,FunErr_Audio_PC_Play_Wav_Fail,PC播放音乐失败,PC play wav fail,Y
Audio_Test_Push_Wav_Fail,AUDO0005,FunErr_Audio_Push_Wav_Fail,存放音乐文件到手机失败,Push wav to handset fail,Y
Audio_ID_Fail,AUDO0006,FunErr_Audio_ID_Fail,Audio ID 错误,Check Audio ID fail,Y
Audio_Mic_Speaker_Analyse_Collected_Fail,AUDO0007,FunErr_Audio_Mic_Speaker_Analyse_Collected_Fail,麦克风到扬声器回路音频分析失败,Audio Mic to speaker analyse collected fail,Y
Audio_Mic_Receiver_Analyse_Collected_Fail,AUDO0008,FunErr_Audio_Mic_Receiver_Analyse_Collected_Fail,麦克风到听筒回路音频分析失败,Audio Mic to receiver analyse collected fail,Y
Audio_Hankset_Mic_L_Speaker_Analyse_Collected_Fail,AUDO0009,FunErr_Audio_Hankset_Mic_L_Speaker_Analyse_Collected_Fail,耳机麦克风到左声道回路音频分析失败,Audio handset Mic to left speaker analyse collected fail,Y
Audio_Hankset_Mic_R_Speaker_Analyse_Collected_Fail,AUDO0010,FunErr_Audio_Hankset_Mic_R_Speaker_Analyse_Collected_Fail,耳机麦克风到右声道回路音频分析失败,Audio handset Mic to rigth speaker analyse collected fail,Y
Audio_Mic2_Speaker_Analyse_Collected_Fail,AUDO0011,FunErr_Audio_Mic2_Speaker_Analyse_Collected_Fail,麦克风2到扬声器回路音频分析失败,Audio Mic2 to speaker analyse collected fail,Y
Audio_Search_Wave_In_Device_Fail,AUDO0012,FunErr_Audio_Search_Wave_In_Device_Fail,搜寻输入装置失败,Audio Search WaveInDevice Fail,Y
Audio_Open_Wave_In_Device_Fail,AUDO0013,FunErr_Audio_Open_Wave_In_Device_Fail,开启输入装置失败,Audio Open WaveInDevice Fail,Y
Audio_Open_Wave_Out_Device_Fail,AUDO0014,FunErr_Audio_Open_Wave_Out_Device_Fail,开启输出装置失败,Audio Open WaveOutDevice Fail,Y
Audio_Search_Mixer_Device_Fail,AUDO0015,FunErr_Audio_Search_Mixer_Device_Fail,搜寻混音装置失败,Audio Search MixerDevice Fail,Y
Audio_Set_Mixer_Path_and_Volume_Fail,AUDO0016,FunErr_Audio_Set_Mixer_Path_and_Volume_Fail,设定混音装置失败,Audio Set Mixer Path and Volume Fail,Y
Audio_Set_Mixer_Volume_Fail,AUDO0017,FunErr_Audio_Set_Mixer_Volume_Fail,设定混音装置音量失败,Audio Set Mixer Volume Fail,Y
Audio_Convert_file_fail,AUDO0018,FunErr_Audio_Convert_file_fail,Audio 转档失败,Audio Convert file fail,Y
//**LCD,,,,,
LCD_Backlight_Test_Fail,LCD00001,FunErr_LCD_Backlight_Test_Fail,LCD背光测试失败,LCD backlight test fail,Y
LCD_Display_Fail,LCD00002,FunErr_LCD_Display_Fail,LCD测试失败,LCD test fail,Y
Set_LCD_Backlight_Fail,LCD00003,FunErr_Set_Backlight_Fail,设定LCD背光level失败,Set LCD backlight fail,Y
Get_Backlight_Level_Fail,LCD00004,FunErr_Get_Backlight_Level_Fail,获取LCD 背光 level 失败,Get lcd backlight level fail,Y
//**Gauge,,,,,
Guage_IC_Check_Fail,GAUG0001,FunErr_Guage_IC_Check_Fail,Gauge测试不在范围内,Gauge check fail,Y
Guage_IC_DFI_Calibration_Fail,GAUG0002,FunErr_Guage_IC_DFI_Calibration_Fail,校正GaugeIC的DFI失败,Gauge IC DFI Calibration fail,Y
Check_DFI_Enable_Status_Fail,GAUG0003,FunErr_Check_DFI_Enable_Status_Fail,检查DFI 激活状态失败,Check DFI enable status Fail,Y
Enable_Gauge_DFI_IT_Fail,GAUG0004,FunErr_Enable_Gauge_DFI_IT_Fail,使能Gauge的阻抗跟踪算法失败,Enable Gauge DFI IT fail,Y
Guage_ID_Fail,GAUG0005,FunErr_Guage_ID_Fail,Guage ID 错误,Check Guage ID fail,Y
DFI_Version_Check_Fail,GAUG0006,FunErr_DFI_Version_Check_Fail,DFI版本检查失败,DFI version check fail,Y
//**NFC,,,,,
NFC_Test_Fail,NFC00001,FunErr_NFC_Test_Fail,NFC测试失败,NFC test fail,Y
Check_NFC_Upgrade_Fail ,NFC00002,FunErr_Check_NFC_Upgrade_Fail,检查NFC升级是否成功,Check NFC upgrade fail,Y
NFC_Card_Mode_Fail,NFC00003,FunErr_NFC_Card_Mode_Fail,NFC 卡片模式测试失败,NFC card mode fail,Y
NFC_Read_Mode_Fail,NFC00004,FunErr_NFC_Read_Mode_Fail,NFC 读取模式测试失败,NFC read mode fail,Y
NFC_Read_Mode_Type1_Fail,NFC00005,FunErr_NFC_Read_Mode_Type1_Fail,NFC读取模式Type 1失败(4公分),Read Type 1 NFC Tag (4cm) Fail,Y
NFC_Read_Mode_Type2_Fail,NFC00006,FunErr_NFC_Read_Mode_Type2_Fail,NFC读取模式Type 2失败(4公分),Read Type 2 NFC Tag (4cm) Fail,Y
NFC_Read_Mode_Type4_Fail,NFC00007,FunErr_NFC_Read_Mode_Type4_Fail,NFC读取模式Type 4失败(2公分),Read Type 4 NFC Tag (2cm) Fail,Y
NFC_Card_Mode_0cm_PowerOn_Fail,NFC00008,FunErr_NFC_Card_Mode_0cm_PowerOn_Fail,开机测试NFC卡模式0cm失败,Card Mode 0 cm  Power On Fail,Y
NFC_Card_Mode_0cm_PowerOff_Fail,NFC00009,FunErr_NFC_Card_Mode_0cm_PowerOff_Fail,关机测试NFC卡模式0cm失败,Card Mode 0 cm  Power Off Fail,Y
NFC_Card_Mode_4cm_PowerOn_Fail,NFC00010,FunErr_NFC_Card_Mode_4cm_PowerOn_Fail,开机测试NFC卡模式4cm失败,Card Mode 4 cm Power On Fail,Y
NFC_Card_Mode_4cm_PowerOff_Fail,NFC00011,FunErr_NFC_Card_Mode_4cm_PowerOff_Fail,关机测试NFC卡模式4cm失败,Card Mode 4 cm Power Off Fail,Y
NFC_Chip_ID_Fail,NFC00012,FunErr_NFC_Chip_ID_Fail,读取NFC ID失败,Read NFC Chip ID Fail,Y
NFC_FW_Version_Fail,NFC00013,FunErr_NFC_FW_Version_Fail,读取NFC韧体版本失败,Read NFC FW Version Fail,Y
NFC_Antenna_Selftest_Fail,NFC00014,FunErr_NFC_Antenna_Selftest_Fail,NFC Antenna测试失败,NFC Antenna Selftest Fail,Y
NFC_SWP_Selftest_Fail,NFC00015,FunErr_NFC_SWP_Selftest_Fail,NFC SWP测试失败,NFC SWP Selftest Fail,Y
NFC_Card_Mode_2cm_PowerOff_Fail,NFC00016,FunErr_NFC_Card_Mode_2cm_PowerOff_Fail,关机测试NFC卡模式2cm失败,Card Mode 2 cm Fail,Y
NFC_HCI_TypeA_Reader,NFC00017,FunErr_NFC_HCI_TypeA_Reader_Fail,读取 NFC HCI TypeA Reader UID 失败,Read NFC HCI type fail,Y
NFC_Antenna_IC_ID,NFC00018,FunErr_NFC_Antenna_IC_ID_Fail,读取 NFC Antenna IC ID 失败,Read NFC Antenna IC ID fail,Y
NFC_Card_Mode_3_5cm_PowerOff_Fail,NFC00019,FunErr_NFC_Card_Mode_3_5cm_PowerOff_Fail,关机NFC card mode 3.5公分测试失败,NFC Card Mode 3.5 cm Power Off Fail,Y
//**VIBRATOR,,,,,
Vibrator_Test_Fail,VBRT0001,FunErr_Vibrator_Test_Fail,振动测试失败,Vibrator test fail,Y
//**Memory,,,,,
Check_eMMC_Fail,MEMY0001,FunErr_Check_eMMC_Fail,检查eMMC失败,Check eMMC format Fail,Y
DDR_ReadWrite_Data_Fail,MEMY0002,FunErr_DDR_ReadWrite_Data_Fail,读写DDR数据失败,DDR Read and write data fail,Y
DDR_Size_Fail,MEMY0003,FunErr_DDR_Size_Fail,DDR容量检查失败,Check DDR size fail,Y
Flash_ReadWrite_Data_Fail,MEMY0004,FunErr_Flash_ReadWrite_Data_Fail,Flash记忆体读写失败,Flash read or write fail,Y
DDR_ID_Fail,MEMY0005,FunErr_DDR_ID_Fail,DDR ID 错误,Check DDR ID fail,Y
DDR_SelfTest_Fail,MEMY0006,FunErr_DDR_SelfTest_Fail,DDR SelfTest失败,DDR SelfTest Fail,Y
eMMC_ID_Fail,MEMY0007,FunErr_eMMC_ID_Fail,eMMC ID 错误,Check eMMC ID fail,Y
eMMC_Version_Fail,MEMY0008,FunErr_eMMC_Version_Fail,eMMC 版本错误,Check eMMC version fail,Y
//**Ecompass,,,,,
ECompassr_Test_Fail,ECOP0001,FunErr_ECompassr_Test_Fail,Ecompassr测试失败,Ecompassr test fail,Y
ECompassr_ID_Fail,ECOP0002,FunErr_ECompassr_ID_Fail,ECompassr ID 错误,Check ECompassr ID fail,Y
ECompass_SelfTest_Fail,ECOP0003,FunErr_ECompass_SelfTest_Fail,ECompassr SelfTest失败,ECompassr SelfTest Fail,Y
//**SBL,,,,,
SBL_Booting_Fail,SBL00001,FunErr_SBL_Booting_Fail,SBL booting 失败,SBL booting fail,Y
//**PMIC,,,,,
PMIC_ID_Fail,PMIC0001,FunErr_PMIC_ID_Fail,PMIC ID 错误,Check PMIC ID fail,Y
PMIC_Temperature_Read_Fail,PMIC0002,FunErr_PMIC_Temperature_Read_Fail,PMIC温度读取失败,PMIC Temperature Read Fail,Y
PMIC_Temperature_Check_Fail,PMIC0003,FunErr_PMIC_Temperature_Check_Fail,PMIC温度测试失败,PMIC Temperature Check Fail,Y
//**Gyro,,,,,
Gyro_ID_Fail,GYRO0001,FunErr_Gyro_ID_Fail,陀螺仪ID错误,Check Gyro ID fail,Y
Gyro_Sensor_Test_Fail,GYRO0002,FunErr_Gyro_Sensor_Test_Fail,陀螺仪测试失败,Gyro sensor test fail,Y
Gyro_Sensor_SelfTest_Fail,GYRO0003,FunErr_Gyro_Sensor_SelfTest_Fail,Gyro Sensor SelfTest失败,Gyro Sensor SelfTest Fail,Y
Gyro_Calibration_Fail,GYRO0004,FunErr_Gyro_Calibration_Fail,陀螺仪校准失败,Gyro Calibration Fail,Y
//**CPU,,,,,
Check_CPU_Version_Fail,CPU00001,FunErr_Check_CPU_Version_Fail,CPU 版本错误,Check CPU version fail,Y
//**RF_chip,,,,,
RFChip_ID_Fail,RFCP0001,FunErr_RFChip_ID_Fail,RFChip ID 错误,Check RF Chip ID fail,Y
Check_RF_Band_Temperatur_Fail,RFCP0002,FunErr_Check_RF_Band_Temperature_Fail,检测 RF Band 温度失败,Check RF Band temperature fail,Y
RF_PA_ID_Fail,RFCP0003,FunErr_RF_PA_ID_Fail,RF PA ID 错误,Check RF PA ID fail,Y
ASM_ID_Fail,RFCP0004,FunErr_ASM_ID_Fail,天线开关s组码错误,Check ASM ID fail,Y
ASM2_ID_Fail,RFCP0005,FunErr_ASM2_ID_Fail,天线开关2s组码错误,Check ASM 2 ID fail,Y
ASM3_ID_Fail,RFCP0006,FunErr_ASM3_ID_Fail,天线开关3s组码错误,Check ASM 3 ID fail,Y
ASM4_ID_Fail,RFCP0007,FunErr_ASM4_ID_Fail,天线开关4s组码错误,Check ASM 4 ID fail,Y
ASM5_ID_Fail,RFCP0008,FunErr_ASM5_ID_Fail,天线开关5s组码错误,Check ASM 5 ID fail,Y
RF_PA2_ID_Fail,RFCP0009,FunErr_RF_PA2_ID_Fail,RF PA2 ID 错误,Check RF PA2 ID fail,Y
RF_PA3_ID_Fail,RFCP0010,FunErr_RF_PA3_ID_Fail,RF PA3 ID 错误,Check RF PA3 ID fail,Y
RF_PA4_ID_Fail,RFCP0011,FunErr_RF_PA4_ID_Fail,RF PA4 ID 错误,Check RF PA4 ID fail,Y
RF_PA5_ID_Fail,RFCP0012,FunErr_RF_PA5_ID_Fail,RF PA5 ID 错误,Check RF PA5 ID fail,Y
TUNER1_ID_Fail,RFCP0013,FunErr_TUNER1_ID_Fail,TUNER1 ID 错误,Check TUNER1 ID fail,Y
TUNER2_ID_Fail,RFCP0014,FunErr_TUNER2_ID_Fail,TUNER2 ID 错误,Check TUNER2 ID fail,Y
TUNER3_ID_Fail,RFCP0015,FunErr_TUNER3_ID_Fail,TUNER3 ID 错误,Check TUNER3 ID fail,Y
TUNER4_ID_Fail,RFCP0016,FunErr_TUNER4_ID_Fail,TUNER4 ID 错误,Check TUNER4 ID fail,Y
TUNER5_ID_Fail,RFCP0017,FunErr_TUNER5_ID_Fail,TUNER5 ID 错误,Check TUNER5 ID fail,Y
//**RTC,,,,,
RTC_Set_Fail,RTC00001,FunErr_RTC_Set_Fail,设置RTC值失败,RTC set fail,Y
RTC_Test_Fail,RTC00002,FunErr_RTC_Test_Fail,RTC测试失败,RTC test fail,Y
//**Capkey,,,,,
Capkey_ID_Fail,CAPK0001,FunErr_Capkey_ID_Fail,Capkey ID 检测失败,Capkey ID fail,Y
Capkey_Sensitivity_Check_Fail,CAPK0002,FunErr_Capkey_Sensitivity_Check_Fail,Capkey灵敏度测试失败,Capkey sensitivity test fail,Y
//**Keypad,,,,,
Keypad_Test_Fail,KEYP0001,FunErr_Keypad_Test_Fail,按键测试失败,Keypad test fail,Y
SideKey_Test_Fail,KEYP0002,FunErr_Sidekey_Test_Fail,侧边按键测试失败,Side Key test fail,Y
VolumeUpKey_Test_Fail,KEYP0003,FunErr_VolumeUpKey_Test_Fail,音量上键测试失败,Volume up key test fail,Y
VolumeDownKey_Test_Fail,KEYP0004,FunErr_VolumeDownKey_Test_Fail,音量下键测试失败,Volume down key test fail,Y
PowerKey_Test_Fail,KEYP0005,FunErr_PowerKey_Test_Fail,电源键测试失败,Power key test fail,Y
Set_PowerKey_Event_Fail,KEYP0006,FunErr_Set_PowerKey_Event_Fail,下电源键按下指令失败,Set power key event fail,Y
//**HDMI,,,,,
HDMI_Test_Fail,HDMI0001,FunErr_HDMI_Test_Fail,HDMI测试失败,HDMI test fail,Y
//**MHL,,,,,
MHL_ID_Check_Fail,MHL00001,FunErr_MHL_ID_Check_Fail,MHL 读取设备ID失败或者ID不匹配,MHL ID Check Fail,Y
//**Codec,,,,,
Codec_ID_Check_Fail,CODE0001,FunErr_Codec_ID_Check_Fail,Codec 读取设备ID失败或者ID不匹配,Codec ID Check Fail,Y
//**Run in,,,,,
Run_In_Fail,RUN00001,FunErr_Run_In_Fail,Run in 测试失败,Run In fail,Y
//**Browser,,,,,
Browser_Test_Fail,BWSR0001,FunErr_Browser_Test_Fail,浏览器测试失败,Browser test fail,Y
//**LCM,,,,,
Check_LCM_Control_Panel_Fail,LCM00001,FunErr_Check_LCM_Control_Panel_Fail,LCM控制元件失效,Check LCM control panel Fail,Y
//**Ethernet,,,,,
Ethernet_Loopback_Test_Fail,ETH00001,FunErr_Ethernet_Loopback_Test_Fail,乙太网络Loopback测试失败,Ethernet Loopback Test Fail,Y
Ethernet_Connection_Test_Fail,ETH00002,FunErr_Ethernet_Connection_Test_Fail,乙太网络链接测试失败,Ethernet Connection Test Fail,Y
//**GPIO,,,,,
GPIO_Test_Fail,GPIO0001,FunErr_GPIO_Test_Fail,GPIOy失,GPIO Test Fail,Y
//**UART,,,,,
UART_Test_Fail,UART0001,FunErr_UART_Test_Fail,UARTy失,UART Test Fail,Y
//**USB,,,,,
USB_HOST_Test_Fail,USB00001,FunErr_USB_HOST_Test_Fail,USB主机测试失败,USB Host Test Fail,Y
USB_Detect_Start_Fail,USB00002,FunErr_USB_Detect_Start_Fail,USB开启侦测失败,USB detect start fail,Y
USB_Detect_End_Fail,USB00003,FunErr_USB_Detect_End_Fail,USB关闭侦测失败,USB detect end fail,Y
USB30_Test_Fail,USB00004,FunErr_USB30_Test_Fail,USB3.0 y失,USB 3.0 Test fail,Y
UsbOTG_Test_Fail,USB00005,FunErr_UsbOTG_Test_Fail,Usb OTG y失败,USB OTG Test Fail,Y
//**SmartCover,,,,,
SmartCover_Detect_Fail,SCVR0001,FunErr_SmartCover_Detect_Fail,检测智能背盖失败,SmartCover Detect_Fail,Y
SmartCover_Interrupt_Fail,SCVR0002,FunErr_SmartCover_Interrupt_Fail,智能背盖中断失败,SmartCover Interrupt Fail,Y
SmartCover_Enable3V_Fail,SCVR0003,FunErr_SmartCover_Enable3V_Fail,智能背盖起动3V电压失败,SmartCover Enable3V Fail,Y
SmartCover_CheckI2C_Fail,SCVR0004,FunErr_SmartCover_CheckI2C_Fail,智能背盖检测I2C失败,SmartCover CheckI2C Fail,Y
SmartCover_Switch5V_Fail,SCVR0005,FunErr_SmartCover_Switch5V_Fail,智能背盖切换5V电压失败,SmartCover Switch5V Fail,Y
//**fuse,,,,,
Fuse_CheckSHKStatus_Fail,FUSE0001,FunErr_Fuse_CheckSHKStatus_Fail,读取Fuse SHK状态失败,Read Fuse SHK Status Fail,Y
Fuse_CheckSecureStatus_Fail,FUSE0002,FunErr_Fuse_CheckSecureStatus_Fail,读取Fuse Secure Boot 状态失败,Read Fuse Secure Boot Status Fail,Y
Fuse_ProgSHKFuse_Fail,FUSE0003,FunErr_Fuse_ProgSHKFuse_Fail,执行Fuse SHK失败,Execute Fuse SHK Fail,Y
Fuse_ProgSecureFuse_Fail,FUSE0004,FunErr_Fuse_ProgSecureFuse_Fail,执行Fuse Secure Boot失败,Execute Fuse Secure Boot Fail,Y
Fuse_ErasePartition_Fail,FUSE0005,FunErr_Fuse_ErasePartition_Fail,执行Fuse Erase Partition失败,Execute Erase Partition Fail,Y
//**CapSense,,,,,
Read_Capsense_FW_Falil,CAPS0001,FunErr_Read_CapSense_FW_Version,读取CapSense固件版本失败,Read CapSense Firmware Version Fail,Y
Update_CapSense_FW_Fail,CAPS0002,FunErr_Update_CapSense_FW_Version,升级CapSense固件版本失败,Update CapSense Frimware Version Fail,Y
//**FSG,,,,,
FSG_Enable_Protect_Fail,FSG00001,FunErr_FSG_Enable_Protect_Fail,启动保护FSG失败,FSG Enable Protect Fail,Y
FSG_Disable_Protect_Fail,FSG00002,FunErr_FSG_Disable_Protect_Fail,关闭保护FSG失败,FSG Disable Protect Fail,Y
//**Lens,,,,,
LensModule_Lens_Motor_Voltage_Test_Fail,LENS0001,FunErr_LensModule_Lens_Motor_Voltage_Test_Fail,镜头马达电压测试失败,Lens Module Lens Motor Voltage Test Fail,Y
LensModule_Shutter_Motor_Voltage_Test_Fail,LENS0002,FunErr_LensModule_Shutter_Motor_Voltage_Test_Fail,快门马达电压测试失败,Lens Module Shutter Motor Voltage Test Fail,Y
//**CameraSensor,,,,,
CameraSensor_Read_ID_Fail,CSEN0001,FunErr_CameraSensor_Read_ID_Fail,读取CameraSensorID失败,Read CameraSensorID fail,Y
CameraSensor_Check_ID_Fail,CSEN0002,FunErr_CameraSensor_Check_ID_Fail,检测CameraSensorID失败,Check CameraSensorID fail,Y
//**MCU,,,,,
Read_MCU_Version_Fail,MCU00001,FunErr_Read_MCU_Version_Fail,读取MCU Version失败,Read MCU Version fail,Y
Check_MCU_Version_Fail,MCU00002,FunErr_Check_MCU_Version_Fail,检测MCU Version失败,Check MCU Version fail,Y
MCU_Response_Error,MCU00003,FunErr_MCU_Response_Error,MCU回e`,MCU Response Error,Y
//**Lense Module XY,,,,,
XyAlign_Place_XY_Panel_Fail,LMXY0001,FunErr_XyAlign_Place_XY_Panel_Fail,Place XY Panel 失败,Place XY Panel fail,Y
XyAlign_Remove_XY_Panel_Fail,LMXY0002,FunErr_XyAlign_Remove_XY_Panel_Fail,执行 Remove XY Panel 失败,Remove XY Panel fail,Y
XyAlign_Init_XY_Fail,LMXY0003,FunErr_XyAlign_Init_XY_Fail,执行Init XY 失败,Init XY fail,Y
XyAlign_Get_XY_Meas_Fail,LMXY0004,FunErr_XyAlign_Get_XY_Meas_Fail,执行Get XY Meas 失败,Get XY Meas fail,Y
XyAlign_Verify_XY_Meas_Fail,LMXY0005,FunErr_XyAlign_Verify_XY_Meas_Fail,执行Verify XY Meas 失败,Verify XY Meas fail,Y
XyAlign_Stop_XY_Meas_Fail,LMXY0006,FunErr_XyAlign_Stop_XY_Meas_Fail,执行Stop XY Meas 失败,Stop XY Meas fail,Y
//**Lense Module TIL,,,,,
TiltCalb_Init_Tilt_Fail,LMTIL001,FunErr_TiltCalb_Init_Tilt_Fail,执行Init Tilt 失败,Init Tilt fail,Y
TiltCalb_Get_Tilt_Meas_Fail,LMTIL002,FunErr_TiltCalb_Get_Tilt_Meas_Fail,执行Get Tilt Meas 失败,Get Tilt Meas fail,Y
TiltCalb_Stop_Tilt_Meas_Fail,LMTIL003,FunErr_TiltCalb_Stop_Tilt_Meas_Fail,执行Stop Tilt Meas 失败,Stop Tilt Meas fail,Y
//**Lense Module MOD,,,,,
Mod_Data_Start_Test_Fail,LMMOD001,FunErr_Mod_Data_Start_Test_Fail,执行Mod Data Start Test 失败,Mod Data Start Test fail,Y
//**Lense Module Hot Pixel,,,,,
Hotpixel_Start_Test_Fail,LMHOT001,FunErr_Hotpixel_Start_Test_Fail,执行Hotpixel Start Test 失败,Hotpixel Start Test fail,Y
//**Lense Module ZF,,,,,
ZoomFocus_Start_Test_Fail,LMZF0001,FunErr_ZoomFocus_Start_Test_Fail,执行ZoomFocus Start Test 失败,ZoomFocus Start Test fail,Y
//**NTC,,,,,
NTC1_Read_Fail,NTC00001,FunErr_NTC1_Read_Fail,NTC1读取失败,NTC1 Read Fail,Y
NTC1_Check_Fail,NTC00002,FunErr_NTC1_Check_Fail,NTC1测试失败,NTC1 Check Fail,Y
NTC2_Read_Fail,NTC00003,FunErr_NTC2_Read_Fail,NTC2读取失败,NTC2 Read Fail,Y
NTC2_Check_Fail,NTC00004,FunErr_NTC2_Check_Fail,NTC2测试失败,NTC2 Check Fail,Y
NTC3_Read_Fail,NTC00005,FunErr_NTC3_Read_Fail,NTC3读取失败,NTC3 Read Fail,Y
NTC3_Check_Fail,NTC00006,FunErr_NTC3_Check_Fail,NTC3测试失败,NTC3 Check Fail,Y
//**Antenna Tuner,,,,,
Antenna_Tuner_Self_Calibration_Fail,ANTE00001,FunErr_Antenna_Tuner_Self_Calibration,天线调谐器校验失败,Antenna Tuner IC Self Calibration Fail,Y
//**CTP,,,,,
CTP_ID_Fail,CTP00001,FunErr_CTP_ID_Fail,CTP读取设备ID失败或者ID不匹配,Check CTP ID Fail,Y
CTP_Test_Fail,CTP00002,FunErr_CTP_Test_Fail,CTPy失败,CTP Test Fail,Y
//**Hall Sensor,,,,,
HallSensor_Test_Fail,HALLSE01,FunErr_HallSensor_Test_Fail,HallSensory失败,Hall Sensor Test Fail,Y
//**Screen,,,,,
Unlock_Screen_Fail,SCREEN01,FunErr_Unlock_Screen_Fail,解除屏幕锁定失败,Unlock screen fail,Y
//**MIPI,,,,,
Check_MIPI_Device_Fail,MIPI0001,FunErr_Check_MIPI_Device_Fail,检查 MIPI 装置失败,Check MIPI Device Fail,Y
//**Gesture,,,,,
Gesture_Test_Fail,GEST0001,FunErr_Gesture_Test_Fail,手y失,Gesture Test Fail,Y
//**2G4,,,,,
2G4_Power_Test_Fail,2G400001,FunErr_2G4_Power_Test_Fail,2G4 power测试失败,2G4 power test fail,Y
//**FPGA,,,,,
FPGA_ID_Fail,FPGA0001,FunErr_FPGA_ID_Fail,FPGA ID 错误,Check FPGA ID fail,Y